번호,업태구분,사업장명,인허가일자,전화번호,도로명주소,지번주소,위도,경도,소재지면적,다중이용업소여부
1,과자점,아카데미떡방,1986-09-16,063-288-5072,전북특별자치도 전주시 완산구 동문길 67 (풍남동1가),전북특별자치도 전주시 완산구 풍남동1가 44 ,,,88.6,N
2,과자점,동부떡집,1990-07-18,063-282-9789,전북특별자치도 전주시 완산구 충경로 109 (경원동3가),전북특별자치도 전주시 완산구 경원동3가 90-13 ,,,29.37,N
3,과자점,던킨도너츠다가점,1993-03-26,063-288-1846,전북특별자치도 전주시 완산구 충경로 3 (다가동3가),전북특별자치도 전주시 완산구 다가동3가 64-23 ,,,12.26,N
4,과자점,롯데델리,1997-04-23,063-226-5111,"전북특별자치도 전주시 완산구 용머리로 73 (효자동1가,효자프라자2/201)",전북특별자치도 전주시 완산구 효자동1가 289-3 효자프라자2/201 ,,,26.2,N
5,과자점,제주빵집,1999-07-06,063-284-5990,전북특별자치도 전주시 완산구 풍남문5길 15-4 (다가동2가),전북특별자치도 전주시 완산구 다가동2가 51-3 ,,,8.96,N
6,과자점,상록베이커리,1999-11-03,063-275-3203,전북특별자치도 전주시 완산구 전주객사5길 94 (고사동),전북특별자치도 전주시 완산구 고사동 1-2 ,,,8.96,N
7,과자점,남문다방,2000-02-21,063-284-2288,,전북특별자치도 전주시 완산구 전동 165-1 ,,,46.8,N
8,과자점,길거리야,2005-01-17,063-229-3735,전북특별자치도 전주시 완산구 백마산길 28 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1173-1 ,,,19.8,N
9,과자점,강변김밥,2010-02-25,0632-2609-74,전북특별자치도 전주시 완산구 효자천변1길 26-3 (효자동1가),전북특별자치도 전주시 완산구 효자동1가 663-12 ,,,15.84,N
10,과자점,오감만두,2012-09-13,063-228-3231,전북특별자치도 전주시 완산구 용리로 146 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 622-4 ,,,33.63,N
11,과자점,얌얌모찌,2015-02-23,,"전북특별자치도 전주시 완산구 온고을로 2, 지하1층 (서신동)",전북특별자치도 전주시 완산구 서신동 971 ,,,7.4,N
12,과자점,챙길밥김치백서,2015-04-14,,전북특별자치도 전주시 완산구 백마산길 7 (효자동3가),전북특별자치도 전주시 완산구 효자동3가 1159-12 ,,,69.04,N
13,극장,공차롯데시네마전주점,2019-11-28,063-289-2941,"전북특별자치도 전주시 완산구 온고을로 2, 롯데백화점전주점 7층 (서신동)",전북특별자치도 전주시 완산구 서신동 971 롯데백화점 ,,,77.29,N
14,극장,세븐일레븐 전주로데오점,2021-03-02,,"전북특별자치도 전주시 완산구 전주객사5길 15, 1층 (고사동)",전북특별자치도 전주시 완산구 고사동 79-5 ,,,4,N
15,기타 휴게음식점,천변과객사사이,1984-03-29,063-272-1883,전북특별자치도 전주시 완산구 충경로 9 (다가동3가),전북특별자치도 전주시 완산구 다가동3가 88 ,,,58.75,N
16,기타 휴게음식점,심플,2000-05-18,063-222-1944,전북특별자치도 전주시 완산구 한두평4길 12-6 (중화산동2가),전북특별자치도 전주시 완산구 중화산동2가 660-2 ,,,38.82,N
17,기타 휴게음식점,백일홍,2000-08-24,063-286-3697,전북특별자치도 전주시 완산구 현무2길 67 (경원동3가),전북특별자치도 전주시 완산구 경원동3가 199 ,,,29.58,N
18,기타 휴게음식점,느티나무집,2002-11-08,063-284-2797,"전북특별자치도 전주시 완산구 충경로 49-8 (중앙동3가,지하1층)",전북특별자치도 전주시 완산구 중앙동3가 8-1 지하1층 ,,,57.77,N
19,기타 휴게음식점,마시따김밥,2002-11-15,063-282-3298,전북특별자치도 전주시 완산구 서원로 362-1 (중화산동1가),전북특별자치도 전주시 완산구 중화산동1가 162-19 ,,,8,N
20,기타 휴게음식점,배스킨라빈스31효자점,2002-12-31,,"전북특별자치도 전주시 완산구 용머리로 48 (효자동1가,외2필지)",전북특별자치도 전주시 완산구 효자동1가 432-2 외2필지 ,,,69.75,N
21,기타 휴게음식점,피자스쿨삼익점,2003-04-15,063-226-8493,전북특별자치도 전주시 완산구 거마남로 84 (삼천동1가),전북특별자치도 전주시 완산구 삼천동1가 668-6 ,,,16,N
22,기타 휴게음식점,미니스톱서신점(편의점),2003-07-29,063-255-4885,전북특별자치도 전주시 완산구 온고을로 66 (서신동),전북특별자치도 전주시 완산구 서신동 962-3 ,,,18.9,N
23,기타 휴게음식점,조이앤시네마전주,2003-11-05,063-284-9330,전북특별자치도 전주시 완산구 전주객사3길 74-25 (고사동),전북특별자치도 전주시 완산구 고사동 288-2 ,,,40.2,N
24,기타 휴게음식점,임실치즈피자중화산2호점,2003-12-24,063-223-7777,"전북특별자치도 전주시 완산구 화산천변로 19 (중화산동2가,외1필지)",전북특별자치도 전주시 완산구 중화산동2가 751-4 외1필지 ,,,78,N
25,기타 휴게음식점,세븐일레븐 전주한옥마을본점,2003-01-22,063-285-1112,전북특별자치도 전주시 완산구 경기전길 120 (교동),전북특별자치도 전주시 완산구 교동 269-3 ,,,7.28,N
