시점,행정구역(동읍면)별(1),행정구역(동읍면)별(2),행정구역(동읍면)별(3),행정구역(동읍면)별(4),항목,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100-
2005,전라북도,전주시,완산구,중앙동,인구,300,427,579,648,1010,1001,853,675,763,936,867,875,689,578,403,270,132,56,23,2,1
2005,전라북도,전주시,완산구,풍남동,인구,304,437,583,560,922,872,753,630,689,833,796,780,654,526,377,227,119,52,18,7,0
2005,전라북도,전주시,완산구,노송동,인구,619,848,995,1119,1703,1628,1433,1239,1328,1455,1292,1295,1099,920,625,390,213,85,42,5,1
2005,전라북도,전주시,완산구,완산동,인구,319,407,429,445,746,729,704,552,524,564,586,645,512,443,276,199,78,38,14,5,0
2005,전라북도,전주시,완산구,동서학동,인구,421,509,702,717,955,890,741,736,813,984,753,657,581,497,357,190,108,48,14,3,2
2005,전라북도,전주시,완산구,서서학동,인구,685,883,868,874,1160,1295,1216,1054,985,1047,853,829,652,533,333,183,98,49,15,3,2
2005,전라북도,전주시,완산구,중화산1동,인구,703,1063,1369,1345,1438,1231,1139,1234,1360,1460,1035,783,618,460,351,250,129,58,16,3,1
2005,전라북도,전주시,완산구,중화산2동,인구,1049,1950,2013,1497,1377,1149,1593,2030,1937,1650,917,638,454,381,310,212,131,59,20,5,1
2005,전라북도,전주시,완산구,서신동,인구,2948,4590,5021,3508,3066,3069,4328,5027,4647,3514,2084,1514,1157,948,764,471,242,113,31,3,0
2005,전라북도,전주시,완산구,평화1동,인구,755,837,1005,1091,1349,1398,1292,1108,1149,1223,968,878,629,536,394,277,141,58,18,2,1
2005,전라북도,전주시,완산구,평화2동,인구,3038,4053,4231,3542,3613,2883,4226,4382,4100,3847,2628,1777,1294,1067,907,605,347,152,49,8,2
2005,전라북도,전주시,완산구,삼천1동,인구,701,1203,1457,1206,1318,1018,1202,1415,1329,1289,827,672,444,352,289,222,103,44,11,3,0
2005,전라북도,전주시,완산구,삼천2동,인구,1027,1673,2176,1965,1905,1522,1569,1822,1959,1951,1313,930,520,344,328,224,150,57,21,6,2
2005,전라북도,전주시,완산구,삼천3동,인구,1530,2706,3042,2156,1625,1320,2164,2858,2830,2091,1147,799,646,610,574,365,216,121,33,7,0
2005,전라북도,전주시,완산구,효자1동,인구,674,919,1124,1125,1469,1311,1156,1082,1101,1236,1051,905,707,536,374,248,125,68,13,5,1
2005,전라북도,전주시,완산구,효자2동,인구,641,945,1245,1261,1548,1301,1084,1138,1231,1312,1093,914,604,411,286,201,120,65,24,4,0
2005,전라북도,전주시,완산구,효자3동,인구,763,1197,1848,1820,1601,1072,1113,1290,1739,1811,1247,839,510,391,392,304,192,72,17,8,1
2005,전라북도,전주시,완산구,효자4동,인구,1529,2223,2007,1237,1193,1247,2125,2455,1935,1246,774,575,507,450,384,203,124,42,21,2,0
2005,전라북도,전주시,덕진구,진북동,인구,734,1268,1594,1422,1908,1625,1453,1477,1657,1845,1446,1307,1156,966,704,408,206,113,40,6,1
2005,전라북도,전주시,덕진구,인후1동,인구,426,729,941,878,1070,1002,836,869,884,972,820,755,547,376,264,182,104,48,16,2,0
2005,전라북도,전주시,덕진구,인후2동,인구,558,850,974,999,1519,1473,1180,1101,1124,1162,1159,1032,854,642,409,218,140,65,25,11,0
2005,전라북도,전주시,덕진구,인후3동,인구,2794,3514,3620,2240,2156,2708,4028,3928,3270,2175,1416,1180,959,791,618,386,209,95,29,9,1
2005,전라북도,전주시,덕진구,덕진동,인구,604,789,892,1018,1617,1531,1270,1091,1064,1258,1094,1002,861,637,406,282,115,63,24,2,1
2005,전라북도,전주시,덕진구,금암1동,인구,262,384,434,526,1171,1270,803,611,576,670,621,635,489,360,277,132,71,25,16,1,0
2005,전라북도,전주시,덕진구,금암2동,인구,393,581,646,742,1223,1312,897,804,745,875,812,832,691,453,315,176,103,45,19,5,0
2005,전라북도,전주시,덕진구,팔복동,인구,683,776,830,792,1225,1328,1272,1006,974,1024,877,828,605,474,284,154,84,56,16,4,0
2005,전라북도,전주시,덕진구,우아1동,인구,662,1047,1248,1048,1319,1258,1263,1237,1204,1158,911,786,535,429,270,199,105,51,14,4,0
2005,전라북도,전주시,덕진구,우아2동,인구,759,1020,1116,876,1116,1150,1269,1288,1142,1028,725,555,469,411,299,201,97,41,14,0,0
2005,전라북도,전주시,덕진구,호성동,인구,1289,1919,2087,1857,1672,1384,1742,1987,2109,1966,1266,867,557,555,434,284,167,71,24,2,0
2005,전라북도,전주시,덕진구,송천1동,인구,2359,3437,3607,2601,1982,2032,3305,3603,3363,2440,1323,937,647,597,495,321,201,89,24,8,2
2005,전라북도,전주시,덕진구,송천2동,인구,1182,2078,2530,2047,1899,1503,1810,2214,2380,2127,1307,1018,768,618,479,291,179,53,24,4,1
2005,전라북도,전주시,덕진구,조촌동,인구,604,768,877,676,814,882,1052,1014,924,799,629,552,440,476,362,196,100,38,12,5,1
2005,전라북도,전주시,덕진구,동산동,인구,1149,1500,1521,1272,1464,1338,1701,1676,1590,1442,1028,805,618,586,397,223,127,57,20,3,1
2006,전라북도,전주시,완산구,중앙동,인구,287,416,554,621,832,959,825,714,694,886,872,833,685,612,410,275,148,56,24,4,2
2006,전라북도,전주시,완산구,풍남동,인구,281,378,538,521,790,818,708,620,664,808,810,723,645,531,383,233,111,59,28,5,1
2006,전라북도,전주시,완산구,노송동,인구,612,806,972,1086,1506,1632,1363,1268,1230,1530,1347,1278,1149,936,676,411,207,87,40,5,1
2006,전라북도,전주시,완산구,완산동,인구,267,394,429,436,629,707,639,524,496,530,583,596,495,445,306,189,82,36,19,3,0
2006,전라북도,전주시,완산구,동서학동,인구,348,467,639,670,827,836,658,702,746,915,785,637,537,489,366,197,111,53,18,2,3
2006,전라북도,전주시,완산구,서서학동,인구,601,835,905,818,1110,1273,1159,1101,929,1075,919,817,632,560,369,205,103,41,17,4,2
2006,전라북도,전주시,완산구,중화산1동,인구,650,929,1292,1368,1356,1204,1071,1195,1262,1511,1069,801,574,491,357,264,139,52,21,4,0
2006,전라북도,전주시,완산구,중화산2동,인구,954,1844,2113,1617,1374,1177,1436,2086,1979,1764,1039,684,462,396,322,252,128,69,21,4,3
2006,전라북도,전주시,완산구,서신동,인구,2727,4369,5044,3672,3060,3066,4058,5125,4577,3805,2310,1548,1208,977,810,496,247,119,41,4,0
2006,전라북도,전주시,완산구,평화1동,인구,785,852,1005,1139,1328,1481,1380,1185,1158,1335,1074,928,668,605,437,301,151,71,19,5,0
